book,page,negative,positive,sentiment,gutenberg_id,linenumber,chapter,word
The Wonderful Wizard of Oz,0,8,22,14,55,1,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,1,0,wonderful
The Wonderful Wizard of Oz,0,8,22,14,55,1,0,wizard
The Wonderful Wizard of Oz,0,8,22,14,55,1,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,1,0,oz
The Wonderful Wizard of Oz,0,8,22,14,55,2,0,by
The Wonderful Wizard of Oz,0,8,22,14,55,3,0,l
The Wonderful Wizard of Oz,0,8,22,14,55,3,0,frank
The Wonderful Wizard of Oz,0,8,22,14,55,3,0,baum
The Wonderful Wizard of Oz,0,8,22,14,55,4,0,introduction
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,folklore
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,legends
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,myths
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,fairy
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,tales
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,have
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,followed
The Wonderful Wizard of Oz,0,8,22,14,55,5,0,childhood
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,through
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,ages
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,for
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,every
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,healthy
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,youngster
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,has
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,a
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,wholesome
The Wonderful Wizard of Oz,0,8,22,14,55,6,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,instinctive
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,love
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,for
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,stories
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,fantastic
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,marvelous
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,7,0,manifestly
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,unreal
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,winged
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,fairies
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,grimm
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,andersen
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,have
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,brought
The Wonderful Wizard of Oz,0,8,22,14,55,8,0,more
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,happiness
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,to
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,childish
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,hearts
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,than
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,all
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,other
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,human
The Wonderful Wizard of Oz,0,8,22,14,55,9,0,creations
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,yet
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,old
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,time
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,fairy
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,tale
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,having
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,served
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,for
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,generations
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,may
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,now
The Wonderful Wizard of Oz,0,8,22,14,55,10,0,be
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,classed
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,as
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,historical
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,in
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,children's
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,library
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,for
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,time
The Wonderful Wizard of Oz,0,8,22,14,55,11,0,has
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,come
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,for
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,a
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,series
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,newer
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,wonder
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,tales
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,in
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,which
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,12,0,stereotyped
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,genie
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,dwarf
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,fairy
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,are
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,eliminated
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,together
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,with
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,all
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,13,0,horrible
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,blood
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,curdling
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,incidents
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,devised
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,by
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,their
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,authors
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,to
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,point
The Wonderful Wizard of Oz,0,8,22,14,55,14,0,a
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,fearsome
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,moral
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,to
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,each
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,tale
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,modern
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,education
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,includes
The Wonderful Wizard of Oz,0,8,22,14,55,15,0,morality
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,therefore
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,modern
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,child
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,seeks
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,only
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,entertainment
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,in
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,its
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,wonder
The Wonderful Wizard of Oz,0,8,22,14,55,16,0,tales
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,gladly
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,dispenses
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,with
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,all
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,disagreeable
The Wonderful Wizard of Oz,0,8,22,14,55,17,0,incident
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,having
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,this
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,thought
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,in
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,mind
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,story
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,wonderful
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,wizard
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,18,0,oz
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,was
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,written
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,solely
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,to
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,please
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,children
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,of
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,today
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,it
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,aspires
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,to
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,being
The Wonderful Wizard of Oz,0,8,22,14,55,19,0,a
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,modernized
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,fairy
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,tale
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,in
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,which
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,wonderment
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,joy
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,are
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,retained
The Wonderful Wizard of Oz,0,8,22,14,55,20,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,21,0,the
The Wonderful Wizard of Oz,0,8,22,14,55,21,0,heartaches
The Wonderful Wizard of Oz,0,8,22,14,55,21,0,and
The Wonderful Wizard of Oz,0,8,22,14,55,21,0,nightmares
